fichier;temps..s.;x..m.;X.dx..m..1;y..m.;X.dy..m..1;z..m.;X.dz..m..1;fsigmax..Hz.;ID
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;0;-0.431691617;0.002199335;-1.858908057;0.003943116;0.962548673;0.018957391;40229.39453;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;0.134399995;0;17182;0;17182;0;17182;23412.52539;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;0.198400006;0;17182;0;17182;0;17182;22036.86328;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;0.335999995;0;17182;0;17182;0;17182;35665.01172;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;0.416000009;0;17182;0;17182;0;17182;28253.1543;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;0.537599981;0;17182;0;17182;0;17182;23603.56445;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;0.624000013;0;17182;0;17182;0;17182;25120.65039;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;0.739199996;0;17182;0;17182;0;17182;26993.72656;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;0.815999985;0;17182;0;17182;0;17182;23230.34766;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;1.184000015;0;17182;0;17182;0;17182;37356.23047;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;59.49440002;-0.395955622;0.00201648;-1.906287313;0.003424235;0.871018708;0.014870143;40118.27734;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;119.3952026;-0.396094084;0.002159181;-1.90607357;0.004098129;0.857727289;0.015113822;40035.27734;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;179.305603;-0.393402219;0.002209798;-1.912714481;0.003785573;0.871941388;0.015802536;40216.40625;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;239.270401;-0.398216069;0.002210024;-1.907575369;0.003781131;0.862468719;0.015874984;40064.46094;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;299.1712036;-0.393524826;0.002253842;-1.910079241;0.004083571;0.871683478;0.015868016;40253.84375;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;359.0176086;-0.394725591;0.002130205;-1.91098237;0.003920687;0.867770731;0.014978116;40135.20703;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;478.8735962;-0.39758417;0.002075881;-1.908229947;0.003593732;0.858626783;0.014957095;40081.23438;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;538.8095703;-0.391927689;0.002108273;-1.913957834;0.003816542;0.876634717;0.014822601;40119.61328;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;598.7711792;-0.392552137;0.002075224;-1.912652612;0.003599349;0.868859112;0.014855608;40232.99609;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;658.5440063;-0.394454718;0.002129611;-1.913129807;0.003927137;0.868530214;0.014992432;40131.80859;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;718.4384155;-0.395559639;0.002154618;-1.907960057;0.003618273;0.871086538;0.015375401;40085.68359;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;778.3519897;-0.395408303;0.002018952;-1.911301494;0.003434693;0.886580646;0.014715815;40119.97656;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;838.3104248;-0.39409402;0.002127756;-1.911636949;0.003919954;0.863917589;0.01503674;40141.23828;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;898.1567993;-0.395128071;0.002074766;-1.908962607;0.003590732;0.860712051;0.014937507;40108.94531;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;950.9887695;0.417812616;0.007303892;0.283118308;0.027438637;0.746511877;0.01964866;22338.42969;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;958.1887817;-0.392367125;0.002017166;-1.912612319;0.003440781;0.88000685;0.014820634;40122.375;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;1018.003174;-0.395403028;0.002017236;-1.910975337;0.003424322;0.880826652;0.014772734;40061.55859;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;1077.984009;-0.393806726;0.002074802;-1.910694718;0.003592349;0.864907503;0.014900468;40104.99219;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;1137.836792;-0.394592524;0.002075435;-1.910854936;0.00359255;0.874050021;0.014767714;40144.77734;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;1197.680054;-0.395409375;0.002072873;-1.909578323;0.003589774;0.853855193;0.015036429;40041.87891;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;1257.699219;-0.39372617;0.002015506;-1.910491228;0.00342158;0.866324365;0.014960367;40080.28125;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;1317.619141;-0.395265311;0.002016005;-1.909472704;0.003419738;0.861389041;0.015004194;40103.11719;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;1377.395142;-0.3944332;0.002072932;-1.911823511;0.003590086;0.845033288;0.015182699;40094.73047;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;1437.286377;-0.39541477;0.002073371;-1.909901977;0.003591991;0.859721839;0.014960976;40119.53125;20180710_104_red67
