ID;x..m.;LightSide;EdgeSide;Imp;distLight;angle;spetrum;Site;SpeciesGroup
20180712_116_white67;3.044740438;Left;Forest;0.031842447;10.16350062;-4.536501524;white;67;Pip
20180712_116_white67;1.942863822;Left;Forest;0.021240535;9.368531386;-5.43610823;white;67;Pip
20180712_116_white67;1.208234787;Left;Forest;0.021487072;8.909831829;-6.011605078;white;67;Pip
20180712_116_white67;0.062255725;Left;Forest;0.01882539;8.620500552;-5.041919275;white;67;Pip
20180712_116_white67;-1.349904299;Left;Forest;0.0254806;8.344586171;-5.701302416;white;67;Pip
20180712_116_white67;-3.443958044;Left;Open;0.039544699;8.333396576;-6.783373204;white;67;Pip
20180712_116_white67;-5.371571064;Right;Forest;0.057977529;7.451226208;-11.86417411;white;67;Pip
20180712_116_white67;-7.162340164;Right;Forest;0.146769072;7.836746556;-7.300774929;white;67;Pip
20180712_116_white67;4.840819359;Left;Forest;0.156981227;13.10306726;25.15143004;white;67;Pip
20180712_116_white67;4.111190796;Left;Forest;0.262255919;14.03875266;37.85349389;white;67;Pip
20180712_116_white67;2.932921171;Left;Forest;0.537064213;15.21119065;49.10315897;white;67;Pip
20180712_116_white67;0.424702108;Left;Forest;0.196897021;12.80742933;49.29105948;white;67;Pip
20180712_116_white67;-1.136207938;Left;Forest;0.156565722;11.91404669;50.75631123;white;67;Pip
20180712_116_white67;-2.779211521;Left;Forest;0.197260198;12.34393007;52.58124294;white;67;Pip
20180710_104_red67;13.21912956;Left;Open;0.634265444;19.62598772;-7.881462154;red;67;Pip
20180710_104_red67;11.43372154;Left;Open;0.334221188;17.9906472;-6.927396248;red;67;Pip
20180710_104_red67;10.00879383;Left;Open;0.235137996;16.72512804;-6.738698613;red;67;Pip
20180710_104_red67;9.276622772;Left;Open;0.173527751;16.09750874;-6.549894386;red;67;Pip
20180710_104_red67;8.037479401;Left;Open;0.132119062;15.10889613;-5.901815303;red;67;Pip
20180710_104_red67;7.415490627;Left;Open;0.109683944;14.64352776;-5.466677688;red;67;Pip
20180710_104_red67;5.811441422;Left;Open;0.063685041;13.30451981;-5.727068387;red;67;Pip
20180710_104_red67;6.116519451;Left;Open;0.087797104;14.07570917;-3.38765618;red;67;Pip
20180710_104_red67;3.877741575;Left;Open;0.042677314;12.23134515;-4.937482643;red;67;Pip
20180710_104_red67;3.555131435;Left;Open;0.054712411;12.13999493;-4.193117534;red;67;Pip
20180710_104_red67;2.606467485;Left;Open;0.049047057;11.64490094;-5.793749321;red;67;Pip
20180710_104_red67;1.862266779;Left;Open;0.043253917;11.41840927;-5.602775225;red;67;Pip
20180710_104_red67;1.036248088;Left;Open;0.034986253;11.21867652;-5.543564263;red;67;Pip
20180710_104_red67;0.418691754;Left;Open;0.042870139;11.00851975;-6.296972876;red;67;Pip
20180710_104_red67;-0.602307737;Left;Open;0.038687822;10.55824704;-8.059839795;red;67;Pip
20180710_104_red67;-1.259084821;Left;Open;0.034665003;10.22275545;-9.039043318;red;67;Pip
20180710_104_red67;-2.01989913;Left;Open;0.033343679;9.806403436;-9.787608267;red;67;Pip
20180710_104_red67;-2.649960041;Left;Open;0.040444765;9.58524888;-10.96291665;red;67;Pip
20180710_104_red67;-3.524129629;Left;Open;0.036985872;9.26446949;-11.00972165;red;67;Pip
20180710_104_red67;-5.129790306;Right;Open;0.06094868;9.175653758;-12.49556178;red;67;Pip
20180710_104_red67;-6.691195965;Right;Open;0.115796917;9.465942437;-14.11865962;red;67;Pip
20180710_104_red67;12.34418774;Left;Open;0.578196315;18.33423272;-6.806242618;red;67;Pip
20180710_104_red67;11.4903307;Left;Forest;0.34584481;17.43683332;-5.667267254;red;67;Pip
20180710_104_red67;10.89613628;Left;Forest;0.332697341;16.82866735;-5.271693956;red;67;Pip
20180710_104_red67;9.801269531;Left;Forest;0.191503053;15.78340208;-4.172741572;red;67;Pip
20180710_104_red67;9.166335106;Left;Forest;0.162902919;15.22210997;-3.751571812;red;67;Pip
